ID,tList
1463,"['GO:0006412' 'GO:0006518' 'GO:0006807' 'GO:0008152' 'GO:0009058'
 'GO:0009059' 'GO:0009987' 'GO:0010467' 'GO:0019538' 'GO:0034641'
 'GO:0034645' 'GO:0043043' 'GO:0043170' 'GO:0043603' 'GO:0043604'
 'GO:0044237' 'GO:0044238' 'GO:0044249' 'GO:0044260' 'GO:0044267'
 'GO:0044271' 'GO:0071704' 'GO:1901564' 'GO:1901566' 'GO:1901576']"
1486,"['GO:0000302' 'GO:0000303' 'GO:0000305' 'GO:0006801' 'GO:0006950'
 'GO:0006979' 'GO:0008152' 'GO:0009314' 'GO:0009416' 'GO:0009628'
 'GO:0009636' 'GO:0009642' 'GO:0009644' 'GO:0009987' 'GO:0010035'
 'GO:0019430' 'GO:0033554' 'GO:0034599' 'GO:0034614' 'GO:0042221'
 'GO:0044237' 'GO:0050896' 'GO:0051716' 'GO:0062197' 'GO:0070887'
 'GO:0071214' 'GO:0071450' 'GO:0071478' 'GO:0071482' 'GO:0071484'
 'GO:0071486' 'GO:0072593' 'GO:0097237' 'GO:0098754' 'GO:0098869'
 'GO:0104004' 'GO:1901700' 'GO:1901701' 'GO:1990748']"
1532,['GO:0005975' 'GO:0008152' 'GO:0044238' 'GO:0071704']
1538,"['GO:0006323' 'GO:0006325' 'GO:0006333' 'GO:0006334' 'GO:0006336'
 'GO:0006996' 'GO:0009987' 'GO:0016043' 'GO:0022607' 'GO:0031497'
 'GO:0034622' 'GO:0034724' 'GO:0034728' 'GO:0043933' 'GO:0044085'
 'GO:0051276' 'GO:0065003' 'GO:0065004' 'GO:0071103' 'GO:0071824'
 'GO:0071840']"
1556,"['GO:0006508' 'GO:0006807' 'GO:0008152' 'GO:0009056' 'GO:0009057'
 'GO:0009987' 'GO:0019538' 'GO:0019941' 'GO:0030163' 'GO:0043170'
 'GO:0043632' 'GO:0044237' 'GO:0044238' 'GO:0044248' 'GO:0044257'
 'GO:0044260' 'GO:0044265' 'GO:0044267' 'GO:0051603' 'GO:0071704'
 'GO:1901564' 'GO:1901565' 'GO:1901575']"
1561,"['GO:0000053' 'GO:0000054' 'GO:0006082' 'GO:0006403' 'GO:0006405'
 'GO:0006520' 'GO:0006575' 'GO:0006606' 'GO:0006611' 'GO:0006807'
 'GO:0006810' 'GO:0006811' 'GO:0006820' 'GO:0006886' 'GO:0006913'
 'GO:0007154' 'GO:0007165' 'GO:0007264' 'GO:0008104' 'GO:0008152'
 'GO:0009987' 'GO:0015031' 'GO:0015833' 'GO:0015931' 'GO:0017038'
 'GO:0019752' 'GO:0022613' 'GO:0023052' 'GO:0031503' 'GO:0033036'
 'GO:0033365' 'GO:0033750' 'GO:0034504' 'GO:0034613' 'GO:0035556'
 'GO:0042254' 'GO:0042886' 'GO:0043436' 'GO:0044085' 'GO:0044237'
 'GO:0044238' 'GO:0044281' 'GO:0044699' 'GO:0044700' 'GO:0044763'
 'GO:0045184' 'GO:0046907' 'GO:0050657' 'GO:0050658' 'GO:0050789'
 'GO:0050794' 'GO:0050896' 'GO:0051168' 'GO:0051169' 'GO:0051170'
 'GO:0051179' 'GO:0051234' 'GO:0051236' 'GO:0051640' 'GO:0051641'
 'GO:0051649' 'GO:0051656' 'GO:0051716' 'GO:0065007' 'GO:0070727'
 'GO:0071166' 'GO:0071426' 'GO:0071428' 'GO:0071702' 'GO:0071704'
 'GO:0071705' 'GO:0071840' 'GO:0072350' 'GO:0072594' 'GO:1901564'
 'GO:1901605']"
1593,"['GO:0005975' 'GO:0006066' 'GO:0006071' 'GO:0006072' 'GO:0006629'
 'GO:0006638' 'GO:0006639' 'GO:0006641' 'GO:0006793' 'GO:0006796'
 'GO:0008152' 'GO:0009058' 'GO:0009987' 'GO:0016310' 'GO:0019400'
 'GO:0019637' 'GO:0019751' 'GO:0044237' 'GO:0044238' 'GO:0044255'
 'GO:0044262' 'GO:0044281' 'GO:0046167' 'GO:0046486' 'GO:0052646'
 'GO:0071704' 'GO:0090407' 'GO:1901135' 'GO:1901137' 'GO:1901576'
 'GO:1901615']"
1665,"['GO:0006950' 'GO:0006979' 'GO:0008152' 'GO:0009056' 'GO:0009987'
 'GO:0042743' 'GO:0042744' 'GO:0044237' 'GO:0044248' 'GO:0050896'
 'GO:0072593']"
1670,"['GO:0006355' 'GO:0006357' 'GO:0009889' 'GO:0010468' 'GO:0010556'
 'GO:0019219' 'GO:0019222' 'GO:0031323' 'GO:0031326' 'GO:0050789'
 'GO:0050794' 'GO:0051171' 'GO:0051252' 'GO:0060255' 'GO:0065007'
 'GO:0080090' 'GO:1903506' 'GO:2000112' 'GO:2001141']"
1708,"['GO:0006518' 'GO:0006575' 'GO:0006749' 'GO:0006750' 'GO:0006790'
 'GO:0006807' 'GO:0008152' 'GO:0009058' 'GO:0009987' 'GO:0019184'
 'GO:0034641' 'GO:0042398' 'GO:0043043' 'GO:0043603' 'GO:0043604'
 'GO:0044237' 'GO:0044249' 'GO:0044271' 'GO:0044272' 'GO:0071704'
 'GO:1901564' 'GO:1901566' 'GO:1901576']"
1710,['GO:0008152']
1749,"['GO:0000271' 'GO:0005975' 'GO:0005976' 'GO:0006073' 'GO:0006139'
 'GO:0006725' 'GO:0006793' 'GO:0006807' 'GO:0008152' 'GO:0009058'
 'GO:0009059' 'GO:0009225' 'GO:0009250' 'GO:0009832' 'GO:0009987'
 'GO:0016051' 'GO:0030243' 'GO:0030244' 'GO:0033356' 'GO:0033692'
 'GO:0034637' 'GO:0034641' 'GO:0034645' 'GO:0042546' 'GO:0043170'
 'GO:0044042' 'GO:0044085' 'GO:0044237' 'GO:0044238' 'GO:0044249'
 'GO:0044260' 'GO:0044262' 'GO:0044264' 'GO:0044281' 'GO:0044699'
 'GO:0044710' 'GO:0044711' 'GO:0044723' 'GO:0044763' 'GO:0046483'
 'GO:0051273' 'GO:0051274' 'GO:0055086' 'GO:0071554' 'GO:0071669'
 'GO:0071704' 'GO:0071840' 'GO:1901135' 'GO:1901360' 'GO:1901576']"
1808,"['GO:0006629' 'GO:0006694' 'GO:0008152' 'GO:0008202' 'GO:0008610'
 'GO:0009058' 'GO:0009718' 'GO:0009812' 'GO:0009813' 'GO:0042440'
 'GO:0044238' 'GO:0044699' 'GO:0044710' 'GO:0044711' 'GO:0046148'
 'GO:0046283' 'GO:0071704' 'GO:1901360' 'GO:1901362' 'GO:1901576']"
1839,"['GO:0006081' 'GO:0006725' 'GO:0006766' 'GO:0006767' 'GO:0006793'
 'GO:0006796' 'GO:0006807' 'GO:0008152' 'GO:0009058' 'GO:0009110'
 'GO:0009443' 'GO:0009987' 'GO:0018130' 'GO:0019438' 'GO:0019637'
 'GO:0034641' 'GO:0042364' 'GO:0042816' 'GO:0042819' 'GO:0042822'
 'GO:0042823' 'GO:0043094' 'GO:0044237' 'GO:0044249' 'GO:0044271'
 'GO:0044281' 'GO:0044283' 'GO:0046184' 'GO:0046483' 'GO:0071704'
 'GO:0072524' 'GO:0072525' 'GO:0090407' 'GO:1901360' 'GO:1901362'
 'GO:1901564' 'GO:1901566' 'GO:1901576' 'GO:1901615' 'GO:1901617']"
1876,"['GO:0006950' 'GO:0006979' 'GO:0008152' 'GO:0009056' 'GO:0009987'
 'GO:0042743' 'GO:0042744' 'GO:0044237' 'GO:0044248' 'GO:0050896'
 'GO:0072593']"
1907,"['GO:0005975' 'GO:0006464' 'GO:0006486' 'GO:0006807' 'GO:0008152'
 'GO:0009058' 'GO:0009059' 'GO:0009100' 'GO:0009101' 'GO:0009987'
 'GO:0019538' 'GO:0034645' 'GO:0036211' 'GO:0043170' 'GO:0043412'
 'GO:0043413' 'GO:0044237' 'GO:0044238' 'GO:0044249' 'GO:0044260'
 'GO:0044267' 'GO:0044699' 'GO:0044710' 'GO:0044723' 'GO:0044763'
 'GO:0070085' 'GO:0071704' 'GO:1901135' 'GO:1901137' 'GO:1901564'
 'GO:1901566' 'GO:1901576']"
1994,"['GO:0006950' 'GO:0007154' 'GO:0007165' 'GO:0009266' 'GO:0009314'
 'GO:0009408' 'GO:0009416' 'GO:0009628' 'GO:0009637' 'GO:0009785'
 'GO:0009987' 'GO:0023052' 'GO:0030522' 'GO:0044699' 'GO:0044700'
 'GO:0044763' 'GO:0050789' 'GO:0050794' 'GO:0050896' 'GO:0051716'
 'GO:0065007' 'GO:0071214' 'GO:0071478' 'GO:0071482' 'GO:0071483'
 'GO:0104004']"
2076,"['GO:0006810' 'GO:0006811' 'GO:0006820' 'GO:0006886' 'GO:0008104'
 'GO:0009987' 'GO:0015031' 'GO:0015833' 'GO:0033036' 'GO:0034613'
 'GO:0042886' 'GO:0043085' 'GO:0043087' 'GO:0043547' 'GO:0044093'
 'GO:0045184' 'GO:0046907' 'GO:0050790' 'GO:0051179' 'GO:0051234'
 'GO:0051336' 'GO:0051345' 'GO:0051641' 'GO:0051649' 'GO:0065007'
 'GO:0065009' 'GO:0070727' 'GO:0071702' 'GO:0071705' 'GO:0090630']"
2104,"['GO:0006605' 'GO:0006626' 'GO:0006810' 'GO:0006839' 'GO:0006886'
 'GO:0006996' 'GO:0007005' 'GO:0007006' 'GO:0007008' 'GO:0008104'
 'GO:0009987' 'GO:0015031' 'GO:0016043' 'GO:0017038' 'GO:0033036'
 'GO:0033365' 'GO:0034613' 'GO:0044699' 'GO:0044743' 'GO:0044763'
 'GO:0044765' 'GO:0044802' 'GO:0045040' 'GO:0045184' 'GO:0046907'
 'GO:0051179' 'GO:0051204' 'GO:0051205' 'GO:0051234' 'GO:0051641'
 'GO:0051649' 'GO:0051668' 'GO:0055085' 'GO:0061024' 'GO:0065002'
 'GO:0070585' 'GO:0070727' 'GO:0071702' 'GO:0071705' 'GO:0071806'
 'GO:0071840' 'GO:0072594' 'GO:0072655' 'GO:0072657' 'GO:0090150'
 'GO:0090151' 'GO:1902578' 'GO:1902580' 'GO:1902582' 'GO:1902589'
 'GO:1990542']"
2108,"['GO:0006629' 'GO:0006644' 'GO:0006650' 'GO:0006793' 'GO:0006796'
 'GO:0008152' 'GO:0009987' 'GO:0019637' 'GO:0044237' 'GO:0044238'
 'GO:0044255' 'GO:0044699' 'GO:0044710' 'GO:0044763' 'GO:0046486'
 'GO:0071704']"
2156,"['GO:0005975' 'GO:0006082' 'GO:0006090' 'GO:0006091' 'GO:0006096'
 'GO:0006139' 'GO:0006163' 'GO:0006165' 'GO:0006725' 'GO:0006753'
 'GO:0006757' 'GO:0006793' 'GO:0006796' 'GO:0006807' 'GO:0008152'
 'GO:0009056' 'GO:0009117' 'GO:0009132' 'GO:0009135' 'GO:0009150'
 'GO:0009179' 'GO:0009185' 'GO:0009259' 'GO:0009987' 'GO:0016052'
 'GO:0016310' 'GO:0019637' 'GO:0019693' 'GO:0019752' 'GO:0032787'
 'GO:0034641' 'GO:0043436' 'GO:0044237' 'GO:0044238' 'GO:0044281'
 'GO:0046031' 'GO:0046034' 'GO:0046483' 'GO:0046939' 'GO:0055086'
 'GO:0071704' 'GO:0072521' 'GO:1901135' 'GO:1901360' 'GO:1901564'
 'GO:1901575']"
2165,"['GO:0006605' 'GO:0006612' 'GO:0006613' 'GO:0006614' 'GO:0006616'
 'GO:0006620' 'GO:0006810' 'GO:0006811' 'GO:0006820' 'GO:0006886'
 'GO:0008104' 'GO:0009987' 'GO:0015031' 'GO:0015833' 'GO:0031204'
 'GO:0033036' 'GO:0033365' 'GO:0034220' 'GO:0034613' 'GO:0042886'
 'GO:0045047' 'GO:0045184' 'GO:0046907' 'GO:0051179' 'GO:0051234'
 'GO:0051641' 'GO:0051649' 'GO:0051668' 'GO:0055085' 'GO:0065002'
 'GO:0070727' 'GO:0070972' 'GO:0071702' 'GO:0071705' 'GO:0071806'
 'GO:0072594' 'GO:0072599' 'GO:0072657' 'GO:0090150' 'GO:0098656']"
2253,['GO:0008152' 'GO:0009058']
